waktu,link,foto,judul,source
", 01 Jun 2021 22:15:00",https://sport.detik.com/sepakbola/liga-spanyol/d-5590132/eric-garcia-senang-dibandingkan-dengan-pique,https://akcdn.detik.net.id/community/media/visual/2021/06/01/eric-garcia-1_11.jpeg?w=150&q=80,Eric Garcia Senang Dibandingkan dengan Pique,sport.detik.com
", 01 Jun 2021 21:50:00",https://sport.detik.com/sepakbola/liga-indonesia/d-5590078/iwan-setiawan-jadi-pelatih-baru-persela-lamongan,https://akcdn.detik.net.id/community/media/visual/2017/02/06/845e74f1-008d-40fa-8a94-73430ef419d5_11.jpg?w=150&q=80,Iwan Setiawan Jadi Pelatih Baru Persela Lamongan,sport.detik.com
", 01 Jun 2021 21:30:00",https://sport.detik.com/sepakbola/liga-indonesia/d-5590046/persebaya-dukung-penerapan-format-baru-liga-1-2021,https://akcdn.detik.net.id/community/media/visual/2021/06/01/manajer-persebaya-candra-wahyudi_11.jpeg?w=150&q=80,Persebaya Dukung Penerapan Format Baru Liga 1 2021,sport.detik.com
", 01 Jun 2021 21:10:00",https://sport.detik.com/sepakbola/liga-spanyol/d-5590074/ancelotti-segera-diresmikan-sebagai-pelatih-baru-madrid,https://akcdn.detik.net.id/community/media/visual/2021/06/01/carlo-ancelotti_11.jpeg?w=150&q=80,Ancelotti Segera Diresmikan Sebagai Pelatih Baru Madrid,sport.detik.com
", 01 Jun 2021 20:50:00",https://sport.detik.com/sepakbola/liga-spanyol/d-5590045/inikah-sinyal-ramos-tinggalkan-madrid-musim-depan,https://akcdn.detik.net.id/community/media/visual/2021/05/25/sergio-ramos_11.jpeg?w=150&q=80,Inikah Sinyal Ramos Tinggalkan Madrid Musim Depan?,sport.detik.com
", 01 Jun 2021 20:20:00",https://sport.detik.com/sepakbola/bola-dunia/d-5589930/cedera-mason-greenwood-batal-bela-inggris-di-piala-eropa-2020,https://akcdn.detik.net.id/community/media/visual/2021/06/01/mason-greenwood_11.jpeg?w=150&q=80,"Cedera, Mason Greenwood Batal Bela Inggris di Piala Eropa 2020",sport.detik.com
", 01 Jun 2021 20:00:00",https://sport.detik.com/sepakbola/liga-indonesia/d-5589868/bhayangkara-batal-ganti-nama-tetap-di-solo-atau-balik-ke-jakarta,https://akcdn.detik.net.id/community/media/visual/2020/11/28/bhayangkara-solo-fc-1_11.jpeg?w=150&q=80,"Bhayangkara Batal Ganti Nama, Tetap di Solo atau Balik ke Jakarta?",sport.detik.com
", 01 Jun 2021 19:42:00",https://sport.detik.com/sepakbola/detiktv/d-5589998/hazard-tak-senang-chelsea-juara-liga-champions-kenapa,https://akcdn.detik.net.id/community/media/visual/2021/05/31/chelsea_11.jpeg?w=150&q=80,"Hazard Tak Senang Chelsea Juara Liga Champions, Kenapa?",sport.detik.com
", 01 Jun 2021 19:30:00",https://sport.detik.com/sepakbola/liga-inggris/d-5589914/ini-dia-nominasi-pemain-terbaik-liga-inggris-20202021,https://akcdn.detik.net.id/community/media/visual/2021/06/01/liga-inggris_11.jpeg?w=150&q=80,Ini Dia Nominasi Pemain Terbaik Liga Inggris 2020/2021,sport.detik.com
", 01 Jun 2021 19:04:00",https://sport.detik.com/sepakbola/liga-spanyol/d-5589967/carlo-ancelotti-jadi-prioritas-utama-pelatih-baru-real-madrid,https://akcdn.detik.net.id/community/media/visual/2018/06/01/993f8596-27ce-45ca-aeeb-cea6d1ebc903_11.jpeg?w=150&q=80,Carlo Ancelotti Jadi Prioritas Utama Pelatih Baru Real Madrid,sport.detik.com
", 01 Jun 2021 18:30:00",https://sport.detik.com/sepakbola/foto-sepakbola/d-5589778/ini-dia-seragam-kandang-real-madrid-musim-depan,https://akcdn.detik.net.id/community/media/visual/2021/06/01/real-madrid_11.jpeg?w=150&q=80,Ini Dia Seragam Kandang Real Madrid Musim Depan,sport.detik.com
", 01 Jun 2021 18:00:00",https://sport.detik.com/sepakbola/liga-spanyol/d-5589821/tenang-saja-barcelona-masih-akan-belanja,https://akcdn.detik.net.id/community/media/visual/2021/06/01/sergio-aguero-7_11.jpeg?w=150&q=80,"Tenang Saja, Barcelona Masih Akan Belanja",sport.detik.com
", 01 Jun 2021 17:30:00",https://sport.detik.com/sepakbola/bola-dunia/d-5589825/pelatih-belgia-yakin-de-bruyne-bisa-tampil-di-piala-eropa-2020,https://akcdn.detik.net.id/community/media/visual/2021/06/01/kevin-de-bruyne_11.jpeg?w=150&q=80,Pelatih Belgia Yakin De Bruyne Bisa Tampil di Piala Eropa 2020,sport.detik.com
", 01 Jun 2021 17:00:00",https://sport.detik.com/sepakbola/liga-indonesia/d-5589776/afc-terapkan-prokes-ketat-pemain-indonesia-dilarang-keluar-hotel,https://akcdn.detik.net.id/community/media/visual/2021/05/18/timnas-indonesia-latihan-di-dubai_11.jpeg?w=150&q=80,"AFC Terapkan Prokes Ketat, Pemain Indonesia Dilarang Keluar Hotel",sport.detik.com
", 01 Jun 2021 16:30:00",https://sport.detik.com/sepakbola/foto-sepakbola/d-5589729/aguero-hingga-messi-deretan-striker-tua-tua-keladi-di-laliga,https://akcdn.detik.net.id/community/media/visual/2021/06/01/sergio-aguero-3_11.jpeg?w=150&q=80,"Aguero Hingga Messi, Deretan Striker Tua-tua Keladi di LaLiga",sport.detik.com
", 01 Jun 2021 16:00:00",https://sport.detik.com/sepakbola/liga-indonesia/d-5589642/beda-nasib-dion-cools-dengan-sandy-walsh-dan-kevin-diks,https://akcdn.detik.net.id/community/media/visual/2021/06/01/sandy-walsh_11.jpeg?w=150&q=80,Beda Nasib Dion Cools dengan Sandy Walsh dan Kevin Diks,sport.detik.com
", 01 Jun 2021 15:54:00",https://sport.detik.com/sepakbola/detiktv/d-5589667/asa-messi-bawa-argentina-juara-copa-america-2021,https://akcdn.detik.net.id/community/media/visual/2021/05/24/lionel-messi-brewok-2_11.jpeg?w=150&q=80,Asa Messi Bawa Argentina Juara Copa America 2021,sport.detik.com
", 01 Jun 2021 15:35:00",https://sport.detik.com/sepakbola/bola-dunia/d-5589618/piala-eropa-2020-alexander-arnold-dicoret-timnas-inggris,https://akcdn.detik.net.id/community/media/visual/2021/06/01/gareth-southgate-trent-alexander-arnold_11.jpeg?w=150&q=80,Piala Eropa 2020: Alexander-Arnold Dicoret Timnas Inggris?,sport.detik.com
